The current server timezone is: Europe/Berlin, file created at: 01/04/2019 11:13:35 am
No. of visitors
128
----IP hash, ID, Start-time, %CPU, Memory(total, used, free, shared,buffers,cached), MPD-Status, MPD-End-time, End-time----
#1:837ec5754f503cfaaee0929fd48974e7, #2:id4486365319, #3:01/25/2019 06:24:49 pm, #4:0.52, #5:7863868,5482580,656740,91044,1724548,1883312, #6:200 OK, #7:01/25/2019 06:24:50 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id3480790515, #3:01/25/2019 06:29:55 pm, #4:0.97, #5:7863868,5538724,577832,88384,1747312,1828988, #6:200 OK, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id2884244817, #3:01/25/2019 06:30:38 pm, #4:1.08, #5:7863868,5557816,552992,91284,1753060,1806368, #6:200 OK, #7:01/25/2019 06:30:39 pm, #8:01/25/2019 06:30:54 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id1764852229, #3:01/25/2019 06:32:52 pm, #4:0.74, #5:7863868,5596324,502780,91472,1764764,1767344, #6:200 OK, #7:01/25/2019 06:32:53 pm, #8:01/25/2019 06:33:08 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1370007830, #3:01/25/2019 06:33:33 pm, #4:1.29, #5:7863868,5593500,500276,89444,1770092,1772452, #6:200 OK, #7:01/25/2019 06:33:34 pm, #8:01/25/2019 06:33:49 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id17149973, #3:01/25/2019 06:34:29 pm, #4:0.87, #5:7863868,5603376,483628,89444,1776864,1762632, #6:200 OK, #7:01/25/2019 06:34:30 pm, #8:01/25/2019 06:34:44 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1001414315, #3:01/25/2019 06:45:18 pm, #4:0.25, #5:7863868,5658928,408448,96780,1796492,1699732, #6:200 OK, #7:01/25/2019 06:45:19 pm, #8:01/25/2019 06:45:34 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1227686739, #3:01/25/2019 07:10:24 pm, #4:0.66, #5:7863868,5736672,287100,110716,1840096,1607912, #6:200 OK, #7:01/25/2019 07:10:25 pm, #8:01/25/2019 07:10:41 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id573186856, #3:01/25/2019 07:13:08 pm, #4:0.31, #5:7863868,5801852,249896,103868,1812120,1549456, #6:200 OK, #7:01/25/2019 07:13:09 pm, #8:01/25/2019 07:13:24 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1161052446, #3:01/25/2019 07:14:10 pm, #4:0.52, #5:7863868,5809024,246964,103872,1807880,1542256, #6:200 OK, #7:01/25/2019 07:14:11 pm, #8:01/25/2019 07:14:27 pm
